Summary of all 127 combinations ordered by average fitness (best to worst):

1. Average Fitness: 0.729871, Chromosome: [1, 1, 1, 1, 1, 0, 1]
107. Average Fitness: 0.673061, Chromosome: [0, 0, 1, 1, 0, 1, 0]
108. Average Fitness: 0.672457, Chromosome: [0, 0, 1, 0, 0, 0, 1]
109. Average Fitness: 0.670794, Chromosome: [0, 0, 1, 0, 0, 1, 1]
110. Average Fitness: 0.669587, Chromosome: [0, 0, 1, 0, 1, 0, 0]
111. Average Fitness: 0.669168, Chromosome: [0, 0, 1, 0, 1, 1, 0]
112. Average Fitness: 0.665640, Chromosome: [0, 0, 1, 0, 0, 1, 0]
113. Average Fitness: 0.624346, Chromosome: [0, 0, 0, 1, 1, 1, 1]
114. Average Fitness: 0.622797, Chromosome: [0, 0, 0, 1, 1, 0, 1]
115. Average Fitness: 0.618072, Chromosome: [0, 0, 0, 1, 0, 1, 1]
116. Average Fitness: 0.615846, Chromosome: [0, 0, 0, 1, 0, 0, 1]
117. Average Fitness: 0.609896, Chromosome: [0, 0, 0, 1, 1, 1, 0]
118. Average Fitness: 0.603028, Chromosome: [0, 0, 0, 1, 0, 1, 0]
119. Average Fitness: 0.602299, Chromosome: [0, 0, 0, 1, 1, 0, 0]
120. Average Fitness: 0.597680, Chromosome: [0, 0, 0, 1, 0, 0, 0]
121. Average Fitness: 0.590420, Chromosome: [0, 0, 0, 0, 1, 1, 1]
122. Average Fitness: 0.586027, Chromosome: [0, 0, 0, 0, 1, 0, 1]
123. Average Fitness: 0.569802, Chromosome: [0, 0, 0, 0, 1, 1, 0]
124. Average Fitness: 0.568647, Chromosome: [0, 0, 0, 0, 0, 1, 1]
125. Average Fitness: 0.552519, Chromosome: [0, 0, 0, 0, 1, 0, 0]
126. Average Fitness: 0.539534, Chromosome: [0, 0, 0, 0, 0, 1, 0]
127. Average Fitness: 0.536567, Chromosome: [0, 0, 0, 0, 0, 0, 1]
